x,y,z,label
1269,-214,4334,2
1023,-148,4636,2
757,-252,4703,2
527,-451,4598,2
391,-520,4596,2
250,-473,4558,2
177,-338,4354,2
168,-198,4129,2
78,-86,4150,2
-120,-30,4276,2
-378,-64,4168,2
-629,-65,3796,2
-845,78,3303,2
-1084,346,2977,2
-1313,572,2869,2
-1551,733,2995,2
-1686,971,3219,2
-1745,1164,3143,2
-1670,1467,3039,2
-1860,1738,3276,2
-2255,1820,3664,2
-2862,1693,3984,2
-3254,1736,4271,2
-3442,1868,4403,2
-3519,1977,4321,2
-3706,2178,4347,2
-4174,2349,4696,2
-4651,2435,4973,2
-4884,2505,5014,2
-4934,2510,4771,2
-4815,2507,4568,2
-4865,2380,4622,2
-4838,2153,4666,2
-4506,2097,4556,2
-3998,2180,4417,2
-3547,2228,4303,2
-3282,2098,4190,2
-3162,1862,4037,2
-3088,1602,3779,2
-2979,1341,3393,2
-2765,1058,3027,2
-2510,927,3076,2
-2117,957,3340,2
-1847,906,3405,2
-1492,680,3280,2
-1196,525,3381,2
-980,344,3655,2
-837,135,3693,2
-626,36,3439,2
-555,-133,3158,2
-457,-333,2783,2
-245,-406,2700,2
-71,-363,2929,2
320,-304,3341,2
673,-176,4135,2
819,-523,5516,2
655,-890,6269,2
1732,-198,5641,2
2750,758,5525,2
3157,1182,5835,2
3260,1230,5546,2
3229,1235,4994,2
3034,834,4338,2
2608,275,4272,2
2165,-79,4480,2
1942,-282,4521,2
1836,-350,4548,2
1616,-447,4495,2
1348,-600,4337,2
1174,-782,4201,2
960,-754,4366,2
665,-776,4467,2
411,-858,4361,2
289,-887,4160,2
280,-689,3963,2
189,-617,3647,2
-95,-564,3582,2
-436,-312,3716,2
-538,-7,3530,2
-655,447,3452,2
-1072,950,3665,2
-1596,1191,3558,2
-1994,1396,3175,2
-2165,1850,2904,2
-2296,2540,3222,2
-2636,3278,4042,2
-3066,3628,4784,2
-3420,3366,4312,2
-3635,3168,3752,2
-4038,3170,3957,2
-4376,3242,4419,2
-4402,3448,4681,2
-4352,3585,4823,2
-4418,3505,4835,2
-4571,3272,4690,2
-4728,3042,4566,2
-4896,2663,4321,2
-4836,2279,4040,2
-4629,2075,3930,2
-4240,1965,3874,2
-3746,1963,3990,2
-3309,1982,4208,2
-3005,1801,4092,2
-2739,1484,3844,2
-2603,1150,3889,2
-2455,849,3959,2
-2212,622,3801,2
-1756,467,3564,2
-1342,445,3660,2
-1072,446,3883,2
-900,380,3769,2
-872,141,3318,2
-780,-134,2906,2
-325,-65,2951,2
93,120,3353,2
332,187,3650,2
352,57,3669,2
339,-335,3370,2
918,-326,3521,2
1592,47,4264,2
2105,406,4843,2
2193,401,4926,2
1974,146,4661,2
1607,-227,4260,2
1262,-607,3980,2
1346,-742,3901,2
1726,-673,4004,2
2001,-512,4462,2
2125,-507,4998,2
2099,-626,5294,2
1817,-780,5292,2
1636,-955,5043,2
1312,-1041,4930,2
1125,-992,5046,2
861,-962,5149,2
583,-1044,4951,2
357,-1092,4537,2
385,-985,4063,2
469,-667,3799,2
362,-290,3773,2
66,-37,3703,2
-102,99,3381,2
-213,524,3191,2
-426,1169,3307,2
-809,1722,3619,2
-1447,1978,3932,2
-2119,1960,3921,2
-2522,2107,3909,2
-2703,2664,4278,2
-3114,3135,4998,2
-3538,2995,4631,2
-3890,2879,4119,2
-4214,2982,3903,2
-4255,3323,3979,2
-4340,3580,4320,2
-4689,3383,4483,2
-4996,3024,4318,2
-4986,2875,4054,2
-4792,2780,3782,2
-4576,2658,3815,2
-4341,2550,4054,2
-3945,2418,4064,2
-3461,2331,3945,2
-3108,2174,3824,2
-2988,1878,3833,2
-2819,1601,3892,2
-2582,1417,3892,2
-2358,1268,3641,2
-1964,1149,3237,2
-1732,1017,3640,2
-1698,792,4177,2
-1532,436,3840,2
-1246,66,3028,2
-733,-29,2728,2
-261,138,3158,2
292,362,3769,2
576,364,4088,2
353,54,4015,2
-83,-344,3604,2
-600,-650,3218,2
-912,-850,2978,2
-813,-1008,2852,2
-65,-631,3150,2
678,-191,3599,2
1138,-65,4197,2
1243,-25,5018,2
1028,-595,5467,2
1342,-787,5611,2
2309,293,6126,2
2799,393,6381,2
2514,82,6010,2
2282,-42,5618,2
1902,-474,5115,2
1782,-636,4698,2
1561,-585,4569,2
1151,-749,4351,2
682,-964,4184,2
420,-1014,4144,2
533,-902,4127,2
729,-692,4122,2
747,-532,4089,2
631,-444,4052,2
457,-336,3911,2
234,-240,3626,2
145,-4,3501,2
-40,328,3635,2
-348,558,3725,2
-677,658,3499,2
-719,1155,3452,2
-670,1954,3746,2
-831,2515,3878,2
-1231,2557,3563,2
-1866,2306,3202,2
-2594,2358,3466,2
-2987,2731,3961,2
-3122,3113,4308,2
