x,y,z
766,-1097,8271
516,17,8215
345,733,7821
309,1226,7130
312,1451,5974
258,1436,4730
175,1373,3640
61,1252,2458
-124,1086,1228
-370,861,112
-658,591,-745
-923,340,-1407
-1140,84,-1905
-1277,-164,-2295
-1323,-312,-2508
-1308,-372,-2554
-1243,-349,-2521
-1157,-238,-2471
-1000,-60,-2328
-745,133,-1895
-415,290,-1072
-90,280,26
208,306,897
380,-113,2389
577,-217,4045
680,-162,5407
751,-192,6466
878,-181,7150
921,-240,7582
890,-213,7867
708,-500,8005
609,-729,8068
436,-829,8106
171,-1084,8113
40,-1420,8099
-25,-1506,8106
-24,-1213,8142
-15,-630,8182
53,-99,7853
197,209,7203
372,518,6617
488,752,6104
666,902,5555
866,993,4759
950,1010,3864
890,1061,3038
705,1070,2263
452,1030,1462
144,882,710
-143,710,97
-394,437,-375
-587,84,-765
-737,-246,-1104
-860,-420,-1382
-964,-412,-1519
-1050,-255,-1533
-1123,-25,-1475
-1156,221,-1337
-1174,380,-1079
-1153,477,-699
-1089,542,-318
-941,687,9
-754,943,560
-602,1050,1407
-470,741,2372
-205,-91,3240
147,-1087,4053
367,-1779,4446
500,-2096,5046
569,-2077,6025
729,-1697,6839
877,-1613,7337
1269,-1538,7654
1577,-1303,7862
1523,-730,8036
1084,-37,8191
579,502,8282
245,844,8306
139,697,8283
288,499,8261
513,401,8215
681,329,7890
726,580,7168
606,979,6261
504,1403,5500
417,1884,4961
269,2196,4177
82,2275,2958
-182,2083,1575
-495,1727,304
-818,1376,-700
-1096,1132,-1390
-1268,898,-1767
-1314,634,-1871
-1284,301,-1955
-1188,-72,-2147
-1049,-369,-2324
-905,-482,-2376
-764,-422,-2367
-619,-300,-2206
-431,-189,-1876
-220,-152,-1497
-8,-140,-1148
197,-147,-665
373,-195,20
539,-313,981
576,-369,1884
663,-631,3831
890,-817,5416
994,-941,6417
1070,-1104,7045
1146,-1149,7451
1126,-1123,7723
913,-797,7950
447,-255,8154
-92,246,8296
-467,185,8317
-453,-239,8261
-190,-452,8220
-18,-276,8227
51,275,8258
72,1035,8267
109,1636,8205
243,1981,7915
481,2175,7281
697,2259,6036
723,2109,4264
529,1755,2295
149,1367,492
-320,1085,-1020
-805,869,-2278
-1224,687,-3324
-1467,531,-4054
-1476,323,-4286
-1257,26,-4033
-949,-290,-3590
-678,-571,-3241
-457,-688,-3132
-269,-693,-3019
-46,-528,-2733
182,-227,-2133
453,4,-1243
711,65,-415
931,-78,166
1088,-259,576
1108,-306,929
860,-449,1644
621,-363,2866
632,-795,4693
663,-779,6000
645,-732,6852
529,-598,7436
517,-624,7809
558,-556,8051
255,-716,8175
-68,-1021,8199
-413,-1264,8163
-734,-1702,8083
-546,-1900,8053
-346,-1077,8158
-236,-381,8226
-104,197,8138
94,872,7595
208,1519,6923
334,2151,6531
551,2813,5971
683,3227,4736
644,3291,3092
436,3010,1378
188,2538,-92
-76,1973,-1337
-336,1421,-2399
-567,838,-3332
-734,340,-3987
-800,-41,-4236
-708,-361,-4101
-532,-649,-3765
-308,-951,-3499
-32,-1290,-3461
238,-1477,-3354
490,-1348,-3053
714,-1019,-2461
938,-610,-1536
1084,-234,-514
1120,24,526
1025,124,1562
831,317,2192
606,-174,3862
484,-404,5497
245,-463,6562
1,-666,7234
-169,-787,7666
-300,-928,7935
-296,-1186,8076
-249,-1324,8155
-298,-1396,8206
-525,-1482,8215
-697,-1541,8193
-743,-1406,8189
-686,-1123,8210
-582,-597,8257
-429,12,8295
-225,614,8270
-13,1167,7684
175,1537,6795
382,1842,5814
519,2196,4592
452,2409,3116
267,2411,1552
48,2217,255
-173,1924,-815
-370,1691,-1679
-497,1435,-2272
-485,1151,-2512
-366,765,-2479
-204,298,-2382
-47,-175,-2301
108,-611,-2294
285,-989,-2282
442,-1355,-2198
574,-1614,-1991
598,-1629,-1800
525,-1388,-1679
394,-929,-1520
241,-455,-1216
127,-150,-632
102,-42,149
53,149,1011
-62,-191,2972
47,-501,4901
-30,-499,6148
-101,-763,6923
-37,-973,7418
60,-1251,7710
280,-1518,7882
445,-1574,8010
422,-1351,8163
147,-1109,8309
-209,-867,8415
-479,-678,8452
-508,-324,8479
-497,-23,8486
-291,190,8476
3,443,8347
302,667,7808
589,1056,7089
707,1326,6205
842,1486,5361
941,1723,4224
806,1826,2670
519,1653,1057
149,1282,-352
-249,857,-1416
-557,495,-2124
-764,191,-2524
-852,-89,-2724
-853,-319,-2850
-796,-464,-2876
-686,-513,-2794
-532,-476,-2638
-336,-324,-2341
-136,-144,-1866
47,86,-1334
134,334,-889
144,578,-457
98,663,-2
53,501,397
-23,341,796
-133,132,1374
-291,-63,2961
-282,-214,4166
-291,-400,5189
-76,-911,6243
307,-1497,6914
630,-2287,7240
998,-2720,7438
1129,-2736,7625
1096,-2653,7785
916,-2090,8009
541,-1696,8151
271,-1417,8222
178,-1442,8198
397,-866,8261
516,102,8351
632,812,8163
746,1551,7596
698,2127,6580
651,2506,5525
616,2750,4169
484,2761,2477
222,2543,877
-145,2169,-463
-492,1714,-1634
-835,1272,-2553
-1062,808,-3192
-1133,299,-3430
-1089,-189,-3502
-979,-563,-3554
-851,-828,-3601
-741,-959,-3707
-621,-957,-3810
-482,-781,-3745
-292,-443,-3223
-21,-174,-2228
240,-4,-1143
348,182,-283
290,550,467
62,719,1572
123,727,3224
147,689,4544
72,170,5701
155,-549,6674
277,-951,7276
386,-1164,7670
417,-1317,7925
497,-1551,8057
649,-1565,8131
601,-1835,8110
396,-2110,8076
76,-2444,8012
-79,-2616,7970
-101,-2368,8015
-157,-1760,8114
-182,-1136,8199
-20,-237,8092
68,578,7253
174,1324,6352
192,1976,5502
185,2383,4620
186,2748,3526
96,2925,2100
-120,2754,468
-373,2263,-982
-610,1633,-2006
-755,1031,-2743
-842,493,-3178
-875,7,-3490
-826,-409,-3723
-736,-720,-3810
-604,-857,-3849
-455,-858,-3715
-270,-748,-3375
-107,-428,-2861
14,0,-2166
56,405,-1216
2,573,-238
69,604,2101
203,648,3875
211,607,5486
203,276,6598
347,-200,7275
557,-599,7673
712,-1208,7846
781,-1607,7927
673,-1950,7959
508,-2178,7970
372,-2129,8010
72,-2101,8040
-144,-2198,8036
-205,-2037,8066
-332,-1484,8154
-400,-865,8242
-328,110,8335
-267,888,8145
-69,1418,7615
135,1785,6589
294,1933,5322
426,1946,4060
464,1987,2680
306,1900,1163
61,1657,-347
-217,1269,-1555
-462,878,-2358
-639,537,-2965
-743,236,-3303
-761,-71,-3447
-684,-348,-3473
-596,-583,-3464
-479,-704,-3488
-362,-661,-3379
-234,-418,-3014
-77,-181,-2306
99,0,-1513
157,269,-610
103,528,382
13,707,2626
-34,640,4253
16,561,5697
34,220,6720
159,-153,7361
288,-619,7705
419,-1093,7873
479,-1451,7952
409,-1422,8040
208,-1646,8055
123,-1777,8063
-76,-1936,8061
-279,-1814,8096
-430,-1635,8126
-215,-1140,8200
-192,-239,8269
-127,369,8111
86,734,7702
362,1047,7262
546,1486,6709
608,1799,6045
703,2011,5206
720,2085,3983
599,1935,2587
395,1527,1127
134,966,-192
-184,429,-1309
-471,-34,-2185
-687,-480,-2849
-789,-756,-3219
-812,-903,-3327
-771,-885,-3289
-703,-680,-3228
-674,-234,-3042
-676,304,-2657
-659,834,-2057
-586,1162,-1438
-450,1152,-818
-247,890,-197
-90,464,368
-79,-22,1315
106,-166,2391
178,-197,3395
218,-284,4636
255,-393,5968
374,-602,6864
530,-732,7432
621,-857,7790
658,-571,8080
411,-442,8250
154,-695,8305
40,-767,8317
-100,-1047,8273
-111,-1232,8232
-74,-1412,8182
267,-1134,8203
398,-378,8271
467,276,8220
535,752,7677
563,1166,6442
464,1414,5127
355,1465,4171
270,1599,3370
132,1665,2383
-77,1544,1180
-300,1139,-253
-441,456,-1471
-505,-218,-2109
-512,-647,-2496
-550,-870,-2857
-567,-933,-3289
-544,-895,-3606
-421,-663,-3529
-246,-388,-3147
-30,-242,-2761
275,-123,-2456
614,-64,-2196
911,123,-1839
1034,441,-1192
991,777,-228
835,816,1320
896,301,3280
866,167,4481
677,128,5560
404,-84,6588
118,-427,7251
-39,-883,7662
-63,-1247,7917
-168,-1187,8144
-568,-854,8389
-999,-590,8572
-1245,-581,8622
-1025,-712,8542
-607,-762,8432
-214,-876,8334
162,-676,8286
505,-430,8214
797,0,7694
978,558,6478
950,1057,5057
823,1515,3899
699,2055,2715
566,2396,1287
510,2262,-408
527,1794,-1732
571,1379,-2320
540,1179,-2657
466,1127,-3033
383,1086,-3460
276,1020,-3790
187,938,-4002
208,772,-4139
373,509,-4011
650,258,-3542
923,181,-2735
1024,218,-1615
921,173,-663
704,184,551
764,-120,1820
591,-15,2520
369,-537,4029
19,-1243,5583
-490,-1605,6602
-1119,-1453,7378
-1683,-1244,7949
-1836,-920,8337
-1879,-997,8474
-1866,-1485,8450
-1694,-1719,8402
-1515,-1840,8340
-1235,-1945,8271
-674,-1834,8229
-266,-1154,8237
62,-853,7746
342,-344,6826
