x,y,z
0,-3,4166
2,-1,4171
4,0,4166
6,-4,4171
2,-3,4168
0,0,4181
2,-1,4181
-1,1,4180
2,3,4179
4,1,4175
6,0,4166
6,-2,4172
4,0,4170
5,-1,4173
0,0,4166
-5,1,4164
0,1,4174
0,4,4175
1,0,4175
1,-1,4176
4,0,4184
0,1,4173
2,3,4178
8,0,4178
4,3,4176
2,0,4177
4,0,4179
4,0,4176
2,0,4177
2,1,4182
-5,4,4174
-2,0,4171
-1,0,4167
-3,0,4171
0,2,4168
-2,1,4172
-3,3,4172
-5,2,4173
-4,-1,4168
-1,7,4166
1,8,4166
3,6,4167
7,4,4164
0,-3,4165
1,-1,4171
0,2,4175
2,-2,4174
0,-6,4175
5,0,4168
5,0,4175
0,1,4177
-3,5,4179
-5,2,4179
0,-1,4178
0,-1,4170
-5,-1,4169
-4,1,4165
-1,6,4167
2,7,4170
3,11,4174
-1,11,4169
1,12,4165
4,2,4163
4,0,4169
2,0,4174
3,3,4175
3,10,4172
2,4,4170
0,3,4162
2,6,4160
3,4,4164
3,4,4167
3,2,4168
0,-4,4159
3,0,4162
3,0,4169
7,-2,4169
6,3,4167
1,0,4171
-1,0,4170
-1,-1,4166
-8,-1,4162
-3,0,4163
-3,0,4166
-2,1,4171
-3,1,4175
0,1,4174
0,0,4174
0,-1,4166
3,0,4170
8,0,4167
4,0,4166
6,2,4168
1,1,4173
1,1,4170
0,1,4167
1,0,4163
3,0,4161
-2,-4,4168
-1,-5,4165
2,-7,4159
1,-7,4162
3,-5,4167
4,-2,4170
2,2,4162
6,5,4166
9,4,4160
5,0,4165
6,2,4175
3,1,4175
0,0,4167
4,0,4169
0,6,4171
1,3,4173
-5,4,4176
-1,5,4178
-1,5,4176
-6,4,4172
-8,3,4177
-9,0,4176
-8,2,4178
-3,6,4183
4,-1,4175
6,-2,4169
3,0,4171
2,5,4178
0,-1,4173
-3,1,4175
1,1,4172
-1,0,4175
-4,-1,4183
-4,-2,4179
0,0,4174
1,4,4166
5,2,4162
2,-1,4170
5,1,4171
4,3,4173
0,2,4171
0,0,4169
0,5,4180
0,0,4176
-2,-3,4173
-1,4,4166
0,3,4168
-1,6,4166
-2,9,4163
4,6,4166
-2,0,4166
0,-2,4164
1,-2,4165
3,2,4177
-1,1,4175
-2,6,4179
-5,2,4171
-6,0,4168
0,-5,4168
1,-7,4171
1,-9,4167
1,-8,4170
2,-6,4170
0,-1,4165
0,2,4172
4,-2,4178
7,-2,4175
5,-3,4173
2,-6,4168
-2,-5,4171
2,0,4173
-1,2,4174
4,3,4172
3,0,4171
1,-4,4167
-1,0,4168
0,2,4176
-2,0,4175
-1,1,4179
3,2,4183
3,-4,4179
3,-6,4177
2,0,4182
1,-3,4177
1,-2,4168
3,-1,4172
8,0,4176
5,0,4170
2,-3,4171
0,0,4169
4,0,4166
3,-5,4165
1,-6,4165
1,-5,4169
-3,-7,4169
2,1,4177
3,-1,4171
3,-5,4165
3,-6,4160
8,-3,4162
9,-4,4161
5,-1,4167
6,2,4170
7,4,4167
2,1,4167
-1,5,4170
-1,7,4179
-4,8,4180
-4,2,4174
-1,0,4180
-3,-2,4182
3,1,4168
7,-2,4165
3,0,4162
2,-1,4169
0,-2,4168
1,-3,4170
3,0,4170
7,2,4165
8,1,4168
6,0,4165
4,-2,4167
-1,-2,4174
-1,0,4181
-5,-1,4176
0,-1,4173
0,1,4168
-2,-1,4175
-1,1,4175
-2,0,4180
-2,0,4180
-2,1,4174
-8,-1,4180
2,-3,4179
0,-1,4175
5,0,4174
4,0,4170
10,0,4173
7,0,4175
0,2,4167
0,2,4174
4,6,4181
2,5,4184
1,3,4182
1,4,4185
0,3,4180
1,6,4171
0,4,4176
7,6,4180
2,3,4180
-1,5,4176
-3,0,4182
-3,0,4180
-3,2,4176
-2,1,4171
-2,-1,4174
-8,-2,4177
-4,-1,4171
-5,-1,4168
0,0,4169
1,0,4169
3,-5,4171
0,-2,4173
0,0,4171
2,0,4175
0,1,4183
0,1,4172
0,-4,4170
3,-5,4170
1,-4,4168
0,-5,4174
-1,0,4175
2,0,4167
