x,y,z
1452,-252,4189
1269,-214,4334
1023,-148,4636
757,-252,4703
527,-451,4598
391,-520,4596
250,-473,4558
177,-338,4354
168,-198,4129
78,-86,4150
-120,-30,4276
-378,-64,4168
-629,-65,3796
-845,78,3303
-1084,346,2977
-1313,572,2869
-1551,733,2995
-1686,971,3219
-1745,1164,3143
-1670,1467,3039
-1860,1738,3276
-2255,1820,3664
-2862,1693,3984
-3254,1736,4271
-3442,1868,4403
-3519,1977,4321
-3706,2178,4347
-4174,2349,4696
-4651,2435,4973
-4884,2505,5014
-4934,2510,4771
-4815,2507,4568
-4865,2380,4622
-4838,2153,4666
-4506,2097,4556
-3998,2180,4417
-3547,2228,4303
-3282,2098,4190
-3162,1862,4037
-3088,1602,3779
-2979,1341,3393
-2765,1058,3027
-2510,927,3076
-2117,957,3340
-1847,906,3405
-1492,680,3280
-1196,525,3381
-980,344,3655
-837,135,3693
-626,36,3439
-555,-133,3158
-457,-333,2783
-245,-406,2700
-71,-363,2929
320,-304,3341
673,-176,4135
819,-523,5516
655,-890,6269
1732,-198,5641
2750,758,5525
3157,1182,5835
3260,1230,5546
3229,1235,4994
3034,834,4338
2608,275,4272
2165,-79,4480
1942,-282,4521
1836,-350,4548
1616,-447,4495
1348,-600,4337
1174,-782,4201
960,-754,4366
665,-776,4467
411,-858,4361
289,-887,4160
280,-689,3963
189,-617,3647
-95,-564,3582
-436,-312,3716
-538,-7,3530
-655,447,3452
-1072,950,3665
-1596,1191,3558
-1994,1396,3175
-2165,1850,2904
-2296,2540,3222
-2636,3278,4042
-3066,3628,4784
-3420,3366,4312
-3635,3168,3752
-4038,3170,3957
-4376,3242,4419
-4402,3448,4681
-4352,3585,4823
-4418,3505,4835
-4571,3272,4690
-4728,3042,4566
-4896,2663,4321
-4836,2279,4040
-4629,2075,3930
-4240,1965,3874
-3746,1963,3990
-3309,1982,4208
-3005,1801,4092
-2739,1484,3844
-2603,1150,3889
-2455,849,3959
-2212,622,3801
-1756,467,3564
-1342,445,3660
-1072,446,3883
-900,380,3769
-872,141,3318
-780,-134,2906
-325,-65,2951
93,120,3353
332,187,3650
352,57,3669
339,-335,3370
918,-326,3521
1592,47,4264
2105,406,4843
2193,401,4926
1974,146,4661
1607,-227,4260
1262,-607,3980
1346,-742,3901
1726,-673,4004
2001,-512,4462
2125,-507,4998
2099,-626,5294
1817,-780,5292
1636,-955,5043
1312,-1041,4930
1125,-992,5046
861,-962,5149
583,-1044,4951
357,-1092,4537
385,-985,4063
469,-667,3799
362,-290,3773
66,-37,3703
-102,99,3381
-213,524,3191
-426,1169,3307
-809,1722,3619
-1447,1978,3932
-2119,1960,3921
-2522,2107,3909
-2703,2664,4278
-3114,3135,4998
-3538,2995,4631
-3890,2879,4119
-4214,2982,3903
-4255,3323,3979
-4340,3580,4320
-4689,3383,4483
-4996,3024,4318
-4986,2875,4054
-4792,2780,3782
-4576,2658,3815
-4341,2550,4054
-3945,2418,4064
-3461,2331,3945
-3108,2174,3824
-2988,1878,3833
-2819,1601,3892
-2582,1417,3892
-2358,1268,3641
-1964,1149,3237
-1732,1017,3640
-1698,792,4177
-1532,436,3840
-1246,66,3028
-733,-29,2728
-261,138,3158
292,362,3769
576,364,4088
353,54,4015
-83,-344,3604
-600,-650,3218
-912,-850,2978
-813,-1008,2852
-65,-631,3150
678,-191,3599
1138,-65,4197
1243,-25,5018
1028,-595,5467
1342,-787,5611
2309,293,6126
2799,393,6381
2514,82,6010
2282,-42,5618
1902,-474,5115
1782,-636,4698
1561,-585,4569
1151,-749,4351
682,-964,4184
420,-1014,4144
533,-902,4127
729,-692,4122
747,-532,4089
631,-444,4052
457,-336,3911
234,-240,3626
145,-4,3501
-40,328,3635
-348,558,3725
-677,658,3499
-719,1155,3452
-670,1954,3746
-831,2515,3878
-1231,2557,3563
-1866,2306,3202
-2594,2358,3466
-2987,2731,3961
-3122,3113,4308
-3134,3245,4449
-3324,2961,4114
-3600,2876,4093
-3833,3093,4422
-4032,3170,4516
-4245,3146,4508
-4532,3017,4417
-4633,2994,4305
-4589,2938,4016
-4557,2682,3508
-4519,2444,3375
-4266,2396,3723
-3816,2368,4031
-3250,2436,4168
-2761,2355,3841
-2501,2079,3320
-2130,1799,3150
-1825,1776,3959
-1756,1661,4963
-1815,1214,5036
-1722,797,4444
-1538,605,3715
-1202,466,3022
-759,380,2546
-493,409,2849
-568,438,3307
-637,316,3236
