x,y,z,label
-10,369,2094,1
-123,268,3337,1
-241,-19,4091,1
-329,-370,4781,1
-358,-785,5599,1
-285,-965,6576,1
-215,-951,7216,1
-254,-1124,7605,1
-324,-866,7890,1
-439,-335,8089,1
-685,114,8228,1
-929,102,8275,1
-1048,-328,8229,1
-961,-822,8160,1
-733,-1022,8139,1
-528,-818,8167,1
-495,-293,8158,1
-366,195,8161,1
-130,759,7930,1
85,1221,7050,1
317,1470,5871,1
468,1598,4679,1
555,1634,3777,1
595,1666,2890,1
558,1681,1764,1
413,1580,568,1
221,1325,-511,1
27,1016,-1315,1
-130,656,-1915,1
-223,261,-2291,1
-256,-205,-2518,1
-197,-659,-2692,1
-103,-976,-2818,1
-25,-1139,-2959,1
27,-1145,-3111,1
111,-1007,-3192,1
232,-779,-2941,1
361,-460,-2503,1
459,-4,-1917,1
443,523,-1206,1
276,1030,-307,1
33,1301,1663,1
-208,1452,3433,1
-372,1289,4933,1
-395,833,6218,1
-249,302,7007,1
-152,-83,7487,1
-138,-349,7786,1
-28,-441,7983,1
-69,-616,8079,1
-121,-1162,8081,1
-176,-1642,8050,1
-358,-2085,8005,1
-499,-2226,7997,1
-609,-1871,8052,1
-693,-1208,8130,1
-684,-368,8212,1
-447,217,8256,1
-109,790,8015,1
186,1231,7105,1
473,1548,5990,1
658,1631,4971,1
878,1621,4083,1
1028,1573,3068,1
1001,1510,1837,1
797,1376,501,1
496,1139,-683,1
182,830,-1521,1
-49,502,-2009,1
-211,151,-2295,1
-320,-140,-2515,1
-396,-334,-2746,1
-444,-351,-2804,1
-451,-343,-2702,1
-372,-406,-2519,1
-225,-505,-2274,1
-65,-532,-1968,1
80,-439,-1699,1
171,-206,-1429,1
179,166,-983,1
94,514,-237,1
-32,738,760,1
-184,768,1979,1
-151,556,3787,1
-112,444,5044,1
-14,335,6201,1
-37,331,7013,1
-155,193,7519,1
-146,20,7823,1
-37,-188,7992,1
-98,-665,8056,1
-47,-1401,8033,1
-13,-1801,8016,1
-157,-2103,8003,1
-373,-2181,8008,1
-169,-1944,8058,1
-81,-706,8182,1
-92,170,8087,1
-40,782,7675,1
86,1163,6874,1
221,1276,5869,1
347,1338,4844,1
413,1521,3905,1
416,1707,2882,1
346,1755,1775,1
240,1674,792,1
84,1574,73,1
-67,1427,-523,1
-170,1159,-1083,1
-238,866,-1560,1
-262,513,-2016,1
-217,110,-2433,1
-117,-300,-2622,1
35,-619,-2635,1
214,-835,-2535,1
379,-955,-2367,1
533,-867,-2056,1
635,-680,-1616,1
704,-491,-1238,1
742,-344,-908,1
721,-204,-601,1
614,-30,-150,1
438,-70,486,1
381,-70,2426,1
360,78,4441,1
239,-67,5868,1
374,-261,6768,1
351,-525,7311,1
265,-946,7635,1
307,-1308,7828,1
254,-1230,7980,1
49,-1129,8083,1
-242,-1120,8151,1
-611,-1151,8179,1
-918,-1268,8157,1
-979,-1177,8151,1
-898,-766,8192,1
-832,-228,8248,1
-660,23,8273,1
-259,434,7854,1
32,891,6876,1
226,1179,5681,1
283,1320,4664,1
365,1405,3788,1
472,1508,2955,1
496,1558,1915,1
442,1438,675,1
313,1137,-535,1
169,746,-1470,1
37,428,-2063,1
-81,127,-2483,1
-138,-143,-2850,1
-140,-357,-3050,1
-99,-522,-3031,1
-50,-618,-2970,1
3,-604,-2885,1
54,-372,-2738,1
100,46,-2490,1
156,527,-1866,1
147,782,-818,1
10,774,371,1
-126,368,1557,1
-146,162,2663,1
-163,270,3420,1
-182,93,4417,1
-120,-158,5711,1
54,-557,6632,1
408,-909,7196,1
619,-1184,7531,1
734,-1586,7722,1
816,-1734,7857,1
683,-1496,7995,1
342,-1148,8131,1
-141,-900,8226,1
-579,-776,8252,1
-837,-494,8263,1
-972,-148,8278,1
-1083,19,8275,1
-693,158,8273,1
-210,513,7941,1
67,685,7224,1
328,725,6323,1
515,891,5383,1
603,1119,4457,1
644,1374,3664,1
