aworld	357	102	-1819
aworld	475	164	-1078
aworld	467	381	-393
aworld	320	680	182
aworld	77	977	804
aworld	-291	1248	1365
aworld	-680	1144	2814
aworld	-890	994	4240
aworld	-1003	549	5416
aworld	-679	240	6510
aworld	-110	-602	7115
aworld	565	-1988	7338
aworld	1107	-3371	7344
aworld	1427	-4176	7337
aworld	1334	-3965	7490
aworld	763	-3058	7765
aworld	-52	-2095	8004
aworld	-840	-1297	8134
aworld	-1326	-768	8184
aworld	-1402	-299	8235
aworld	-1185	126	8290
aworld	-835	654	8155
aworld	-596	667	7615
aworld	-176	1014	6953
aworld	-116	1349	6487
aworld	62	1616	5964
aworld	251	1921	5286
aworld	418	2170	4460
aworld	513	2294	3397
aworld	492	2243	1987
aworld	342	1962	491
aworld	154	1474	-853
aworld	-19	996	-1845
aworld	-134	546	-2423
aworld	-153	185	-2599
aworld	-149	-65	-2502
aworld	-115	-194	-2432
aworld	-58	-198	-2401
aworld	-14	-196	-2384
aworld	53	-199	-2323
aworld	125	-194	-2118
aworld	194	-109	-1818
aworld	226	-35	-1377
aworld	232	-5	-944
aworld	184	6	-605
aworld	135	116	-395
aworld	65	282	-29
aworld	-57	392	500
aworld	-204	391	1233
aworld	-219	310	2760
aworld	-247	242	4361
aworld	-315	-46	5809
aworld	-174	-21	6750
aworld	-146	-40	7353
aworld	-136	-402	7717
aworld	33	-775	7921
aworld	193	-1117	8019
aworld	163	-1430	8077
aworld	-39	-1418	8154
aworld	-385	-1257	8219
aworld	-630	-1247	8218
aworld	-713	-1013	8216
aworld	-766	-625	8234
aworld	-795	71	8287
aworld	-739	658	8319
aworld	-501	1387	8283
aworld	-223	2032	7564
aworld	40	2377	6379
aworld	240	2378	5199
aworld	455	2254	4045
aworld	569	2113	2935
aworld	582	1982	1820
aworld	518	1830	730
aworld	347	1486	-407
aworld	108	1028	-1411
aworld	-113	562	-2173
aworld	-270	87	-2715
aworld	-334	-450	-3024
aworld	-320	-901	-3017
aworld	-241	-1205	-2838
aworld	-135	-1326	-2648
aworld	-19	-1330	-2584
aworld	150	-1256	-2532
aworld	343	-1066	-2269
aworld	490	-783	-1828
aworld	566	-387	-1206
aworld	551	75	-457
aworld	439	441	341
aworld	305	679	1041
aworld	158	790	1676
aworld	6	685	2103
aworld	-103	310	3207
aworld	-1	116	4366
aworld	-72	-267	5798
aworld	-190	-560	6782
aworld	-256	-896	7376
aworld	-205	-1258	7703
aworld	-163	-1617	7865
aworld	-139	-2003	7927
aworld	-89	-2187	7969
aworld	-174	-2156	8028
aworld	-364	-2123	8063
aworld	-489	-1862	8115
aworld	-600	-1318	8196
aworld	-687	-557	8287
aworld	-760	394	8372
aworld	-510	1140	8399
aworld	-292	1623	8000
aworld	53	1991	7366
aworld	311	2242	6335
aworld	539	2390	5360
aworld	702	2441	4213
aworld	764	2372	2846
aworld	671	2083	1380
aworld	474	1660	-45
aworld	265	1149	-1205
aworld	75	755	-2027
aworld	-89	548	-2425
aworld	-187	402	-2477
aworld	-227	233	-2417
aworld	-207	29	-2350
aworld	-141	-138	-2275
aworld	-90	-190	-2175
aworld	-12	-221	-2120
aworld	112	-259	-1914
aworld	253	-291	-1482
aworld	323	-289	-1018
aworld	304	-189	-642
aworld	210	-81	-339
aworld	96	-117	-180
aworld	50	-252	-119
aworld	24	-324	279
aworld	-92	-240	1100
aworld	-203	-251	2863
aworld	-330	-309	4333
aworld	-340	-466	5806
aworld	-385	-500	6776
aworld	-406	-839	7360
aworld	-291	-1158	7722
aworld	-129	-1427	7935
aworld	-13	-1624	8063
aworld	-36	-1604	8178
aworld	-236	-1482	8278
aworld	-565	-1313	8343
aworld	-843	-1218	8343
aworld	-877	-904	8373
aworld	-790	-486	8428
aworld	-574	22	8497
aworld	-379	497	8170
aworld	23	735	7759
aworld	355	959	6976
aworld	561	1190	6137
aworld	616	1447	5300
aworld	672	1616	4461
aworld	734	1705	3456
aworld	736	1614	2184
aworld	664	1359	937
aworld	457	1006	84
aworld	254	594	-532
aworld	90	247	-1064
aworld	-41	3	-1489
aworld	-144	-118	-1889
aworld	-226	-133	-2177
aworld	-234	-140	-2314
aworld	-143	-150	-2222
aworld	-13	-172	-2082
aworld	80	-232	-2006
aworld	160	-276	-1947
aworld	243	-309	-1775
aworld	346	-343	-1425
aworld	442	-372	-947
aworld	494	-331	-496
aworld	470	-260	-129
aworld	364	-255	161
aworld	219	-420	363
aworld	86	-615	1474
aworld	-4	-665	2407
aworld	-192	-791	3563
aworld	-243	-714	5259
aworld	-339	-497	6492
aworld	-449	-340	7324
aworld	-504	-171	7895
aworld	-505	112	8291
aworld	-540	466	8592
aworld	-665	317	8725
aworld	-760	-256	8653
aworld	-760	-1003	8451
aworld	-560	-1393	8306
aworld	-317	-1391	8257
aworld	-174	-1220	8235
aworld	18	-743	8247
aworld	74	-162	8005
aworld	380	276	7918
aworld	621	750	7141
aworld	801	1136	6024
aworld	847	1432	4791
aworld	844	1577	3821
aworld	863	1680	3051
aworld	846	1674	2146
aworld	758	1476	1008
aworld	597	1061	-165
aworld	401	575	-1178
aworld	188	88	-1876
aworld	-6	-262	-2270
aworld	-120	-441	-2468
aworld	-137	-501	-2392
aworld	-85	-504	-2155
aworld	30	-530	-1960
aworld	194	-604	-1840
aworld	415	-626	-1709
aworld	632	-532	-1382
aworld	800	-374	-870
aworld	881	-129	-279
aworld	869	134	275
